id,name,description
a22113b6beb75fee014055644f3223ba6274f7b5b7136f182d3537a41f23f3d3,ergopad Stake Key,"{""originalAmountStaked"": 41359.36, ""stakeTime"": ""2022-03-06 20:20:04.046016""}"
90bea4dae9cbfb22f5862d7565581788aa6713bc74d5222646df9a13dfd3b633,ergopad Stake Key,"{""originalAmountStaked"": 1194.79, ""stakeTime"": ""2022-03-06 19:45:21.555817""}"
586a71a739fac06020d8e5d47a8999d502a0e83316e9b13e13e9774de22d3d50,ergopad Stake Key,"{""originalAmountStaked"": 2424.27, ""stakeTime"": ""2022-03-06 19:47:58.799204""}"
3f02dadbff463b8dbf0494d01f2f41b6115cf24e2e837aa3b3a5e259321920e3,ergopad Stake Key,"{""originalAmountStaked"": 540.8, ""stakeTime"": ""2022-03-06 18:51:11.048479""}"
96804af00513ae139b039d166345b62b950416feb137e91bd3a0614ab4aa1742,ergopad Stake Key,"{""originalAmountStaked"": 2129.5, ""stakeTime"": ""2022-03-06 18:23:55.085478""}"
c5dd9c77bd65c99bdfdd63348c908369695051e958ac034f3ea29287ca0d2de2,ergopad Stake Key,"{""originalAmountStaked"": 6012.58, ""stakeTime"": ""2022-03-06 17:30:16.044426""}"
6825df4a7e43a80613167cc7375ce31c97f469f536fe0e2981cb40d850e98536,ergopad Stake Key,"{""originalAmountStaked"": 1047.87, ""stakeTime"": ""2022-03-06 17:18:02.043907""}"
b26c030cfe592cf79660ff33a5e1069d125954981248714fef1f6768177d998a,ergopad Stake Key,"{""originalAmountStaked"": 4143.13, ""stakeTime"": ""2022-03-06 16:42:39.570692""}"
04b4eada25a3043d97d8a610c82e19201e2ee523a3d6dfc37bec605e09a11188,ergopad Stake Key,"{""originalAmountStaked"": 24.01, ""stakeTime"": ""2022-03-06 15:52:56.969056""}"
6422fc53518a45ca73465af7a108f85a7e49a50c5187e3420363794d8d90607a,ergopad Stake Key,"{""originalAmountStaked"": 119.91, ""stakeTime"": ""2022-03-06 14:38:42.227894""}"
c3f9ae152f2dae04a59327bb209f5eace967d1d5ca6d9d7b343e1a9f5877661d,ergopad Stake Key,"{""originalAmountStaked"": 419.83, ""stakeTime"": ""2022-03-06 14:23:33.481378""}"
70d60ac6976e9da22ff90717f35c51a1f9b8866d5a5def9f19304e6b04b7f7c4,ergopad Stake Key,"{""originalAmountStaked"": 4812.47, ""stakeTime"": ""2022-03-06 14:11:37.878168""}"
15557f0c3f1766ac437e256c25fdf9eb17bac82fe26dd32c2b414367c94da335,ergopad Stake Key,"{""originalAmountStaked"": 11800.0, ""stakeTime"": ""2022-03-06 13:13:33.730218""}"
860d8618b2424434440540d0157533a77edd2ea2c9d8a8187f5d0a3e67289084,ergopad Stake Key,"{""originalAmountStaked"": 186.6, ""stakeTime"": ""2022-03-06 07:12:47.301547""}"
9127b8c0b35768929707afe145b116b7a535ceb228c84f3543860d46e72c4cd7,ergopad Stake Key,"{""originalAmountStaked"": 1250.0, ""stakeTime"": ""2022-03-06 05:04:51.804352""}"
7b553c18ce2be6cf2d0aebf877aef245ab69fd5972a27e18ead8f12bbae79c13,ergopad Stake Key,"{""originalAmountStaked"": 14.16, ""stakeTime"": ""2022-03-06 02:28:03.508130""}"
a9472757a7b9d3b3c67d52d30eaf550a7b0b5ddd3b132f75a1020d5a2eeae0f9,ergopad Stake Key,"{""originalAmountStaked"": 152.76, ""stakeTime"": ""2022-03-06 01:57:11.941995""}"
4c723f3afd6c8ae83732f22505e02f62ccdaee575a3071a87da2347b564d37a7,ergopad Stake Key,"{""originalAmountStaked"": 1025.0, ""stakeTime"": ""2022-03-06 01:28:26.677671""}"
3e4ed43656c8383aa6d8f266415c0a76a895bf635fb0064fec7f4f0b2f4e817d,ergopad Stake Key,"{""originalAmountStaked"": 1515.98, ""stakeTime"": ""2022-03-05 23:54:39.512663""}"
e8d3f11ddf2e49a284bdb323b704e7bd6f98a9ad882b2a313830d4644a23d764,ergopad Stake Key,"{""originalAmountStaked"": 1132.27, ""stakeTime"": ""2022-03-05 23:51:13.722037""}"
6b2ba98e66706c0d6e4473da89c727c434988f1a3d384ddf4bf207f3b2dc28a7,ergopad Stake Key,"{""originalAmountStaked"": 11915.33, ""stakeTime"": ""2022-03-05 22:27:59.063347""}"
224713b77daecebddbf74a25c2975b645e26cbc5130e8c34fb300d49c1e4210c,ergopad Stake Key,"{""originalAmountStaked"": 1529.11, ""stakeTime"": ""2022-03-05 21:48:17.085888""}"
d85ea20f116c1d7a48c413c4dc7a105055314e28cf805884d61c338e4bfd5265,ergopad Stake Key,"{""originalAmountStaked"": 27279.99, ""stakeTime"": ""2022-03-05 21:21:02.952862""}"
3478cf15e43f325a638763c025db4d595ac355324cf1e35d9afeaa8056ab1671,ergopad Stake Key,"{""originalAmountStaked"": 3606.83, ""stakeTime"": ""2022-03-05 21:12:56.883906""}"
d762642fcafa51aa4f940e1836208aa6f13901137443ea3b74dbfb32f88485c3,ergopad Stake Key,"{""originalAmountStaked"": 637.31, ""stakeTime"": ""2022-03-05 21:03:51.484782""}"
88f5c1f3a4ed8f2dbc2d17707c121d3c4ba0b8a6a034222d0134e70b475fb82a,ergopad Stake Key,"{""originalAmountStaked"": 479.74, ""stakeTime"": ""2022-03-05 20:58:43.342362""}"
dd56459b3231bcd66e36d1b25eea44db034db391c56237a7e08181faf205a10c,ergopad Stake Key,"{""originalAmountStaked"": 594.46, ""stakeTime"": ""2022-03-05 20:13:47.558806""}"
1efc06227d0661d9617407ed7908588720d06b06ff516ddd1dadd7fe24a2c654,ergopad Stake Key,"{""originalAmountStaked"": 202.0, ""stakeTime"": ""2022-03-05 20:15:04.798372""}"
24ca765dcbccc3dc7d24c7fcb76a3a485e488e38ab56eeaec45a8534ff887100,ergopad Stake Key,"{""originalAmountStaked"": 1009.03, ""stakeTime"": ""2022-03-05 19:53:14.398065""}"
48d91f8de8180dbce8fc7875878413b57c75788c261f4dc906ade5cfd9b2b1b5,ergopad Stake Key,"{""originalAmountStaked"": 1069.08, ""stakeTime"": ""2022-03-05 19:44:01.247473""}"
ac22476ec201f8d79b770042bb125cf9a6e4da0c01d5b7439a51bc50199b3b7e,ergopad Stake Key,"{""originalAmountStaked"": 25000.0, ""stakeTime"": ""2022-03-05 19:10:05.315105""}"
f4f26181211c5173bb1ecf0f62caee75373df8daa8c12fbbff83c7a2133647b9,ergopad Stake Key,"{""originalAmountStaked"": 1000.52, ""stakeTime"": ""2022-03-05 18:58:36.058108""}"
182d3cdbd8a0772d9684f07424d53cd64e88400d238fc449998ffcec7f245e9a,ergopad Stake Key,"{""originalAmountStaked"": 1841.55, ""stakeTime"": ""2022-03-05 18:37:19.657828""}"
912306c5ba360716984eacaf3ab575228b785a44b9fc106ab0c631dc545b2406,ergopad Stake Key,"{""originalAmountStaked"": 1200.57, ""stakeTime"": ""2022-03-05 18:17:20.105984""}"
