Date,Installed,Platform
26/07/2021,165.00,Android
27/07/2021,323.00,Android
28/07/2021,383.00,Android
29/07/2021,456.00,Android
30/07/2021,529.00,Android
31/07/2021,581.00,Android
01/08/2021,635.00,Android
02/08/2021,696.00,Android
03/08/2021,779.00,Android
04/08/2021,904.00,Android
05/08/2021,"1,119.00",Android
06/08/2021,"1,871.00",Android
07/08/2021,"2,075.00",Android
08/08/2021,"2,144.00",Android
09/08/2021,"2,269.00",Android
10/08/2021,"2,382.00",Android
11/08/2021,"2,476.00",Android
12/08/2021,"2,595.00",Android
13/08/2021,"2,704.00",Android
14/08/2021,"2,755.00",Android
15/08/2021,"2,844.00",Android
16/08/2021,"2,957.00",Android
17/08/2021,"3,103.00",Android
18/08/2021,"3,318.00",Android
19/08/2021,"3,528.00",Android
20/08/2021,"3,613.00",Android
21/08/2021,"3,787.00",Android
22/08/2021,"3,968.00",Android
23/08/2021,"4,159.00",Android
24/08/2021,"4,342.00",Android
25/08/2021,"4,586.00",Android
26/08/2021,"4,663.00",Android
27/08/2021,"4,808.00",Android
28/08/2021,"4,945.00",Android
29/08/2021,"5,083.00",Android
30/08/2021,"5,182.00",Android
31/08/2021,"5,286.00",Android
01/09/2021,"5,403.00",Android
02/09/2021,"5,548.00",Android
03/09/2021,"5,683.00",Android
04/09/2021,"5,822.00",Android
05/09/2021,"5,835.00",Android
06/09/2021,"5,934.00",Android
07/09/2021,"6,023.00",Android
08/09/2021,"6,190.00",Android
09/09/2021,"6,428.00",Android
10/09/2021,"6,714.00",Android
11/09/2021,"7,065.00",Android
12/09/2021,"7,444.00",Android
13/09/2021,"7,706.00",Android
14/09/2021,"7,779.00",Android
15/09/2021,"7,897.00",Android
16/09/2021,"8,028.00",Android
17/09/2021,"8,161.00",Android
18/09/2021,"8,233.00",Android
19/09/2021,"8,351.00",Android
20/09/2021,"8,402.00",Android
21/09/2021,"8,488.00",Android
22/09/2021,"8,727.00",Android
23/09/2021,"8,916.00",Android
24/09/2021,"9,137.00",Android
25/09/2021,"9,278.00",Android
26/09/2021,"9,276.00",Android
27/09/2021,"9,466.00",Android
28/09/2021,"9,529.00",Android
29/09/2021,"9,598.00",Android
30/09/2021,"9,629.00",Android
01/10/2021,"9,684.00",Android
02/10/2021,"9,702.00",Android
03/10/2021,"9,820.00",Android
04/10/2021,"9,921.00",Android
05/10/2021,"10,046.00",Android
06/10/2021,"10,095.00",Android
07/10/2021,"10,206.00",Android
08/10/2021,"10,327.00",Android
09/10/2021,"10,567.00",Android
10/10/2021,"10,680.00",Android
11/10/2021,"10,739.00",Android
12/10/2021,"10,821.00",Android
13/10/2021,"10,950.00",Android
14/10/2021,"10,980.00",Android
15/10/2021,"11,065.00",Android
16/10/2021,"11,270.00",Android
17/10/2021,"11,479.00",Android
18/10/2021,"11,656.00",Android
19/10/2021,"11,690.00",Android
20/10/2021,"11,845.00",Android
21/10/2021,"11,867.00",Android
22/10/2021,"11,956.00",Android
23/10/2021,"11,975.00",Android
24/10/2021,"11,928.00",Android
25/10/2021,"11,892.00",Android
26/10/2021,"12,170.00",Android
27/10/2021,"12,236.00",Android
28/10/2021,"12,313.00",Android
29/10/2021,"12,498.00",Android
30/10/2021,"12,603.00",Android
31/10/2021,"12,714.00",Android
01/11/2021,"12,705.00",Android
02/11/2021,"12,713.00",Android
03/11/2021,"12,745.00",Android
04/11/2021,"12,820.00",Android
05/11/2021,"12,807.00",Android
06/11/2021,"12,917.00",Android
07/11/2021,"12,915.00",Android
08/11/2021,"13,029.00",Android
09/11/2021,"13,155.00",Android
10/11/2021,"13,270.00",Android
11/11/2021,"13,294.00",Android
12/11/2021,"13,381.00",Android
13/11/2021,"13,471.00",Android
14/11/2021,"13,475.00",Android
15/11/2021,"13,561.00",Android
16/11/2021,"13,599.00",Android
17/11/2021,"13,658.00",Android
18/11/2021,"13,657.00",Android
19/11/2021,"13,720.00",Android
20/11/2021,"13,777.00",Android
21/11/2021,"13,786.00",Android
22/11/2021,"13,858.00",Android
23/11/2021,"13,875.00",Android
24/11/2021,"13,923.00",Android
25/11/2021,"13,658.00",Android
26/11/2021,"13,638.00",Android
27/11/2021,"13,665.00",Android
28/11/2021,"13,673.00",Android
29/11/2021,"13,740.00",Android
30/11/2021,"13,752.00",Android
01/12/2021,"13,797.00",Android
02/12/2021,"13,794.00",Android
03/12/2021,"13,802.00",Android
04/12/2021,"13,925.00",Android
05/12/2021,"14,020.00",Android
06/12/2021,"13,989.00",Android
07/12/2021,"14,039.00",Android
08/12/2021,"14,071.00",Android
09/12/2021,"14,094.00",Android
10/12/2021,"14,041.00",Android
11/12/2021,"14,094.00",Android
12/12/2021,"13,984.00",Android
13/12/2021,"14,069.00",Android
14/12/2021,"14,119.00",Android
15/12/2021,"14,122.00",Android
16/12/2021,"14,043.00",Android
17/12/2021,"14,073.00",Android
18/12/2021,"14,111.00",Android
19/12/2021,"14,109.00",Android
20/12/2021,"14,171.00",Android
21/12/2021,"14,225.00",Android
22/12/2021,"14,138.00",Android
23/12/2021,"14,190.00",Android
24/12/2021,"14,171.00",Android
25/12/2021,"14,531.00",Android
26/12/2021,"14,619.00",Android
27/12/2021,"14,593.00",Android
28/12/2021,"14,673.00",Android
29/12/2021,"14,707.00",Android
30/12/2021,"14,750.00",Android
31/12/2021,"14,738.00",Android
01/01/2022,"14,685.00",Android
02/01/2022,"14,739.00",Android
03/01/2022,"15,717.00",Android
04/01/2022,"15,726.00",Android
05/01/2022,"15,689.00",Android
06/01/2022,"15,650.00",Android
07/01/2022,"15,850.00",Android
08/01/2022,"15,914.00",Android
09/01/2022,"15,906.00",Android
10/01/2022,"15,949.00",Android
11/01/2022,"16,021.00",Android
12/01/2022,"15,991.00",Android
13/01/2022,"16,236.00",Android
14/01/2022,"16,283.00",Android
15/01/2022,"16,384.00",Android
16/01/2022,"16,383.00",Android
17/01/2022,"16,542.00",Android
18/01/2022,"16,550.00",Android
19/01/2022,"27,550.00",Android
20/01/2022,"26,984.00",Android
21/01/2022,"26,738.00",Android
22/01/2022,"26,414.00",Android
23/01/2022,"26,365.00",Android
24/01/2022,"26,729.00",Android
25/01/2022,"27,556.00",Android
26/01/2022,"27,536.00",Android
27/01/2022,"27,500.00",Android
28/01/2022,"27,827.00",Android
29/01/2022,"27,662.00",Android
30/01/2022,"27,522.00",Android
31/01/2022,"27,393.00",Android
01/02/2022,"29,094.00",Android
02/02/2022,"29,141.00",Android
