Installs by OS
Date,Chrome OS,Linux,Mac OS,Other,Windows
12/28/21,0,0,2,0,1
12/29/21,0,0,1,0,2
12/30/21,0,0,0,0,0
12/31/21,0,0,0,0,1
1/1/22,0,0,0,0,0
1/2/22,0,0,0,0,0
1/3/22,0,0,1,0,0
1/4/22,0,0,1,0,0
1/5/22,0,0,0,0,1
1/6/22,0,0,0,0,1
1/7/22,0,0,0,0,0
1/8/22,0,0,0,0,0
1/9/22,0,0,0,0,0
1/10/22,0,0,0,0,0
1/11/22,0,0,0,0,0
1/12/22,0,0,0,0,0
1/13/22,0,0,0,0,0
1/14/22,0,0,0,0,0
1/15/22,0,0,0,0,0
1/16/22,0,0,0,0,0
1/17/22,0,0,0,0,0
1/18/22,0,0,0,0,0
1/19/22,0,0,0,0,0
1/20/22,0,0,0,0,0
1/21/22,0,0,0,0,0
1/22/22,0,0,0,0,0
1/23/22,0,2,3,0,4
1/24/22,0,2,2,0,3
1/25/22,0,4,18,3,57
1/26/22,0,0,2,0,22
1/27/22,0,4,10,2,25
1/28/22,0,1,3,13,22
1/29/22,0,1,4,4,16
1/30/22,0,1,5,1,11
1/31/22,0,0,1,5,14
2/1/22,1,1,3,7,21
2/2/22,0,2,3,3,22
2/3/22,0,1,2,2,15
2/4/22,0,2,1,6,15
2/5/22,0,1,3,1,8
2/6/22,0,0,4,1,16
2/7/22,0,1,6,4,17
2/8/22,1,0,6,2,25
2/9/22,0,0,2,1,18
2/10/22,0,1,6,5,15
2/11/22,0,2,3,9,18
2/12/22,1,5,17,13,61
2/13/22,2,2,5,3,31
2/14/22,1,2,7,19,53
2/15/22,2,2,12,14,45
2/16/22,1,1,7,6,26
2/17/22,0,1,7,15,26
2/18/22,1,0,6,9,28
2/19/22,1,0,4,4,16
2/20/22,0,0,3,4,14
2/21/22,0,2,3,6,16
2/22/22,0,1,3,2,7
2/23/22,0,3,3,2,11
2/24/22,0,1,2,2,7
2/25/22,0,0,7,0,17
2/26/22,0,1,4,4,8
2/27/22,2,5,9,69,47
2/28/22,1,3,8,44,53
3/1/22,0,1,4,11,33
3/2/22,1,1,7,7,30
3/3/22,0,3,3,11,14
3/4/22,0,3,8,9,11
3/5/22,0,0,3,1,16
3/6/22,2,1,3,0,19
3/7/22,0,1,1,1,14
3/8/22,1,0,0,4,15
3/9/22,0,2,3,5,11
3/10/22,0,0,5,77,29
3/11/22,1,2,3,36,18
3/12/22,0,0,1,10,19
3/13/22,0,1,1,28,68
3/14/22,0,1,5,11,29
3/15/22,3,1,9,8,19
3/16/22,3,2,11,14,31
3/17/22,2,4,8,18,53
3/18/22,2,3,8,25,51
3/19/22,2,2,7,19,55
3/20/22,4,1,10,7,36
3/21/22,3,3,11,13,72
3/22/22,3,7,28,20,79
3/23/22,4,6,20,15,102
3/24/22,3,4,16,18,109
3/25/22,3,6,15,9,109
3/26/22,2,6,21,14,77
3/27/22,3,6,16,13,106
3/28/22,6,3,27,33,103
3/29/22,2,2,9,22,70
3/30/22,2,5,12,14,59
3/31/22,3,2,16,3,45
4/1/22,3,4,12,4,40
4/2/22,3,5,12,6,42
4/3/22,3,2,11,8,43
4/4/22,3,4,9,6,43
4/5/22,4,2,17,13,74
4/6/22,5,1,13,7,51
4/7/22,2,2,13,7,58
4/8/22,2,5,7,16,34
4/9/22,3,4,16,44,61
4/10/22,5,1,14,11,49
4/11/22,3,3,9,3,39
4/12/22,3,1,5,6,35
4/13/22,2,3,8,5,27
4/14/22,2,4,10,2,28
4/15/22,2,1,5,4,19
4/16/22,1,1,3,7,16
4/17/22,0,2,7,8,26
4/18/22,0,0,4,2,46
4/19/22,0,2,11,2,39
4/20/22,0,2,3,3,25
4/21/22,0,3,5,3,27
4/22/22,0,5,9,4,49
4/23/22,2,4,7,7,50
4/24/22,7,6,8,8,46
4/25/22,4,3,3,5,44
4/26/22,3,2,6,7,46
4/27/22,2,5,11,1,42
4/28/22,2,3,2,4,44
4/29/22,1,4,6,10,46
4/30/22,5,1,8,5,60
5/1/22,5,4,16,4,67
5/2/22,3,4,18,7,89
5/3/22,2,2,4,4,44
5/4/22,2,1,3,4,24
5/5/22,2,3,4,5,24
5/6/22,0,3,5,29,57
5/7/22,0,1,10,20,48
5/8/22,0,0,3,16,33
5/9/22,0,3,9,12,27
5/10/22,0,1,4,6,49
5/11/22,0,3,3,9,28
5/12/22,1,2,5,7,35
5/13/22,0,5,10,6,49
5/14/22,0,0,11,4,49
5/15/22,1,2,7,7,41
5/16/22,1,2,8,4,23
5/17/22,2,4,8,2,25
5/18/22,0,2,8,5,20
5/19/22,0,0,8,1,28
5/20/22,0,0,10,2,24
5/21/22,0,1,4,1,36
5/22/22,1,1,3,2,34
5/23/22,0,3,8,2,47
5/24/22,2,2,4,1,23
5/25/22,6,0,3,0,31
5/26/22,2,0,11,3,25
5/27/22,0,4,5,1,21
5/28/22,1,4,19,45,107
5/29/22,0,2,4,1,26
5/30/22,0,2,5,2,30
5/31/22,1,3,9,1,34
6/1/22,0,2,3,5,21
6/2/22,0,1,3,3,18
6/3/22,1,0,5,3,14
6/4/22,0,0,4,4,14
6/5/22,0,2,2,1,19
6/6/22,0,0,3,4,17
6/7/22,0,0,1,0,19
6/8/22,0,3,4,3,21
6/9/22,0,2,3,1,22
6/10/22,0,3,4,1,15
6/11/22,0,1,0,1,15
6/12/22,0,3,3,114,68
6/13/22,0,1,3,20,53
6/14/22,1,3,5,46,52
6/15/22,0,3,7,65,80
6/16/22,0,2,11,9,40
6/17/22,3,8,31,17,432
6/18/22,1,5,23,11,430
6/19/22,2,2,10,10,174
6/20/22,0,2,10,9,88
6/21/22,0,2,6,29,151
6/22/22,0,2,5,11,168
6/23/22,2,2,7,12,76
6/24/22,1,3,7,7,63
6/25/22,0,0,5,8,40
6/26/22,0,1,2,6,38
6/27/22,8,1,7,5,38
6/28/22,2,1,7,4,56
6/29/22,2,3,8,4,64
6/30/22,2,1,7,3,43
7/1/22,4,3,6,2,33
7/2/22,2,0,9,4,40
7/3/22,5,1,3,3,25
7/4/22,2,1,5,3,25
7/5/22,2,2,7,3,21
7/6/22,2,2,1,4,25
7/7/22,2,3,1,5,18
7/8/22,3,3,3,6,19
7/9/22,3,1,3,4,9
7/10/22,4,0,2,14,11
7/11/22,0,1,3,5,17
7/12/22,2,0,0,3,18
7/13/22,4,1,2,5,12
7/14/22,4,1,2,2,15
7/15/22,2,0,5,4,17
7/16/22,2,0,4,2,17
7/17/22,4,0,4,5,23
7/18/22,2,1,1,3,7
7/19/22,2,1,4,3,15
7/20/22,2,1,2,3,14
7/21/22,1,0,1,2,11
7/22/22,2,0,2,6,10
7/23/22,2,1,6,4,15
7/24/22,4,0,4,4,18
7/25/22,2,1,0,5,21
7/26/22,2,0,2,2,17
7/27/22,2,1,0,4,15
7/28/22,2,0,1,2,14
7/29/22,2,1,0,2,12
7/30/22,2,2,2,1,12
7/31/22,4,0,1,4,13
8/1/22,3,2,1,3,19
8/2/22,3,0,2,8,20
8/3/22,2,4,2,8,20
8/4/22,2,0,4,5,17
