Installs
Date,Installs
12/28/21,3
12/29/21,3
12/30/21,0
12/31/21,1
1/1/22,0
1/2/22,0
1/3/22,1
1/4/22,1
1/5/22,1
1/6/22,1
1/7/22,0
1/8/22,0
1/9/22,0
1/10/22,0
1/11/22,0
1/12/22,0
1/13/22,0
1/14/22,0
1/15/22,0
1/16/22,0
1/17/22,0
1/18/22,0
1/19/22,0
1/20/22,0
1/21/22,0
1/22/22,0
1/23/22,9
1/24/22,7
1/25/22,82
1/26/22,24
1/27/22,41
1/28/22,39
1/29/22,25
1/30/22,18
1/31/22,20
2/1/22,33
2/2/22,30
2/3/22,20
2/4/22,24
2/5/22,13
2/6/22,21
2/7/22,28
2/8/22,34
2/9/22,21
2/10/22,27
2/11/22,32
2/12/22,97
2/13/22,43
2/14/22,82
2/15/22,75
2/16/22,41
2/17/22,49
2/18/22,44
2/19/22,25
2/20/22,21
2/21/22,27
2/22/22,13
2/23/22,19
2/24/22,12
2/25/22,24
2/26/22,17
2/27/22,132
2/28/22,109
3/1/22,49
3/2/22,46
3/3/22,31
3/4/22,31
3/5/22,20
3/6/22,25
3/7/22,17
3/8/22,20
3/9/22,21
3/10/22,111
3/11/22,60
3/12/22,30
3/13/22,98
3/14/22,46
3/15/22,40
3/16/22,61
3/17/22,85
3/18/22,89
3/19/22,85
3/20/22,58
3/21/22,102
3/22/22,137
3/23/22,147
3/24/22,150
3/25/22,142
3/26/22,120
3/27/22,144
3/28/22,172
3/29/22,105
3/30/22,92
3/31/22,69
4/1/22,63
4/2/22,68
4/3/22,67
4/4/22,65
4/5/22,110
4/6/22,77
4/7/22,82
4/8/22,64
4/9/22,128
4/10/22,80
4/11/22,57
4/12/22,50
4/13/22,45
4/14/22,46
4/15/22,31
4/16/22,28
4/17/22,43
4/18/22,52
4/19/22,54
4/20/22,33
4/21/22,38
4/22/22,67
4/23/22,70
4/24/22,75
4/25/22,59
4/26/22,64
4/27/22,61
4/28/22,55
4/29/22,67
4/30/22,79
5/1/22,96
5/2/22,121
5/3/22,56
5/4/22,34
5/5/22,38
5/6/22,94
5/7/22,79
5/8/22,52
5/9/22,51
5/10/22,60
5/11/22,43
5/12/22,50
5/13/22,70
5/14/22,64
5/15/22,58
5/16/22,38
5/17/22,41
5/18/22,35
5/19/22,37
5/20/22,36
5/21/22,42
5/22/22,41
5/23/22,60
5/24/22,32
5/25/22,40
5/26/22,41
5/27/22,31
5/28/22,176
5/29/22,33
5/30/22,39
5/31/22,48
6/1/22,31
6/2/22,25
6/3/22,23
6/4/22,22
6/5/22,24
6/6/22,24
6/7/22,20
