Uninstalls by OS
Date,Chrome OS,Linux,Mac OS,Other,Windows
1/23/22,0,0,2,0,1
1/24/22,0,0,0,0,1
1/25/22,0,0,0,0,1
1/26/22,0,0,1,0,6
1/27/22,0,0,1,0,2
1/28/22,0,0,1,0,7
1/29/22,0,0,0,0,2
1/30/22,0,0,0,0,1
1/31/22,0,0,0,0,6
2/1/22,0,0,0,0,1
2/2/22,0,0,1,0,4
2/3/22,0,1,0,0,4
2/4/22,0,0,1,0,6
2/5/22,0,0,1,0,3
2/6/22,0,0,0,0,6
2/7/22,0,2,3,0,8
2/8/22,0,1,6,0,8
2/9/22,1,1,5,0,11
2/10/22,0,2,6,0,12
2/11/22,0,0,8,0,18
2/12/22,0,2,7,0,24
2/13/22,0,0,9,0,8
2/14/22,0,2,5,0,16
2/15/22,0,0,4,0,10
2/16/22,1,0,5,0,9
2/17/22,0,0,4,0,1
2/18/22,1,0,0,0,3
2/19/22,0,0,0,0,2
2/20/22,0,0,1,0,1
2/21/22,0,0,0,0,4
2/22/22,0,0,1,0,3
2/23/22,0,0,2,0,2
2/24/22,0,0,1,0,3
2/25/22,0,0,0,0,3
2/26/22,0,0,1,0,1
2/27/22,0,1,3,0,6
2/28/22,0,1,1,0,10
3/1/22,0,0,1,0,8
3/2/22,0,0,2,0,7
3/3/22,0,1,1,0,3
3/4/22,0,0,1,0,6
3/5/22,0,0,1,0,4
3/6/22,0,0,0,0,3
3/7/22,0,0,3,0,2
3/8/22,0,0,0,0,2
3/9/22,0,1,1,0,4
3/10/22,0,0,5,0,3
3/11/22,0,1,2,0,2
3/12/22,0,0,1,0,2
3/13/22,0,0,0,0,6
3/14/22,0,0,0,0,3
3/15/22,0,1,2,0,3
3/16/22,0,1,0,0,6
3/17/22,0,0,1,0,14
3/18/22,0,0,2,0,7
3/19/22,0,0,1,0,2
3/20/22,0,0,0,0,5
3/21/22,0,0,2,0,11
3/22/22,0,1,4,0,9
3/23/22,0,1,1,0,19
3/24/22,0,1,0,0,4
3/25/22,1,0,0,0,4
3/26/22,0,0,3,0,11
3/27/22,0,1,0,0,15
3/28/22,0,0,0,0,9
3/29/22,0,0,2,0,11
3/30/22,0,0,0,0,6
3/31/22,0,0,0,0,6
4/1/22,0,0,4,0,9
4/2/22,0,0,0,0,9
4/3/22,0,0,2,0,8
4/4/22,1,0,1,0,5
4/5/22,0,1,3,0,6
4/6/22,0,0,0,0,6
4/7/22,0,0,3,0,5
4/8/22,0,2,1,0,11
4/9/22,0,4,3,0,8
4/10/22,1,1,0,0,9
4/11/22,0,2,1,0,8
4/12/22,0,0,1,0,7
4/13/22,0,0,0,0,8
4/14/22,0,3,1,0,4
4/15/22,0,0,2,0,3
4/16/22,0,0,1,0,9
4/17/22,1,0,1,0,5
4/18/22,0,0,0,0,9
4/19/22,0,0,1,0,7
4/20/22,0,1,1,0,5
4/21/22,0,1,0,0,12
4/22/22,0,0,1,0,3
4/23/22,0,1,0,0,8
4/24/22,0,2,1,0,7
4/25/22,1,3,1,0,3
4/26/22,0,1,0,0,6
4/27/22,1,2,0,0,7
4/28/22,0,1,0,0,9
4/29/22,0,0,0,0,5
4/30/22,0,0,2,0,10
5/1/22,0,0,1,0,15
5/2/22,0,1,3,0,14
5/3/22,0,0,1,0,12
5/4/22,1,0,0,0,8
5/5/22,0,0,0,0,5
5/6/22,1,0,2,0,12
5/7/22,0,0,1,0,5
5/8/22,0,0,1,0,10
