Uninstalls
Date,Uninstalls
1/23/22,3
1/24/22,1
1/25/22,1
1/26/22,7
1/27/22,3
1/28/22,8
1/29/22,2
1/30/22,1
1/31/22,6
2/1/22,1
2/2/22,5
2/3/22,5
2/4/22,7
2/5/22,4
2/6/22,6
2/7/22,13
2/8/22,15
2/9/22,18
2/10/22,20
2/11/22,26
2/12/22,33
2/13/22,17
2/14/22,23
2/15/22,14
2/16/22,15
2/17/22,5
2/18/22,4
2/19/22,2
2/20/22,2
2/21/22,4
2/22/22,4
2/23/22,4
2/24/22,4
2/25/22,3
2/26/22,2
2/27/22,10
2/28/22,12
3/1/22,9
3/2/22,9
3/3/22,5
3/4/22,7
3/5/22,5
3/6/22,3
3/7/22,5
3/8/22,2
3/9/22,6
3/10/22,8
3/11/22,5
3/12/22,3
3/13/22,6
3/14/22,3
3/15/22,6
3/16/22,7
3/17/22,15
3/18/22,9
3/19/22,3
3/20/22,5
3/21/22,13
3/22/22,14
3/23/22,21
3/24/22,5
3/25/22,5
3/26/22,14
3/27/22,16
3/28/22,9
3/29/22,13
3/30/22,6
3/31/22,6
4/1/22,13
4/2/22,9
4/3/22,10
4/4/22,7
4/5/22,10
4/6/22,6
4/7/22,8
4/8/22,14
4/9/22,15
4/10/22,11
4/11/22,11
4/12/22,8
4/13/22,8
4/14/22,8
4/15/22,5
4/16/22,10
4/17/22,7
4/18/22,9
4/19/22,8
4/20/22,7
4/21/22,13
4/22/22,4
4/23/22,9
4/24/22,10
4/25/22,8
4/26/22,7
4/27/22,10
4/28/22,10
4/29/22,5
4/30/22,12
5/1/22,16
5/2/22,18
5/3/22,13
5/4/22,9
5/5/22,5
5/6/22,15
5/7/22,6
5/8/22,11
5/9/22,9
5/10/22,5
5/11/22,5
5/12/22,10
5/13/22,7
5/14/22,16
5/15/22,5
5/16/22,6
5/17/22,7
5/18/22,8
5/19/22,8
5/20/22,4
5/21/22,4
5/22/22,7
5/23/22,13
5/24/22,4
5/25/22,3
5/26/22,8
5/27/22,6
5/28/22,1
5/29/22,6
5/30/22,5
5/31/22,6
6/1/22,10
6/2/22,5
6/3/22,3
6/4/22,4
6/5/22,5
6/6/22,9
6/7/22,6
6/8/22,4
6/9/22,6
6/10/22,3
6/11/22,4
6/12/22,7
6/13/22,9
6/14/22,5
6/15/22,12
6/16/22,7
6/17/22,24
6/18/22,35
6/19/22,26
6/20/22,16
6/21/22,29
6/22/22,14
6/23/22,17
6/24/22,9
6/25/22,16
6/26/22,20
6/27/22,14
6/28/22,3
6/29/22,15
6/30/22,10
7/1/22,7
7/2/22,20
7/3/22,14
7/4/22,8
7/5/22,5
7/6/22,13
7/7/22,10
7/8/22,8
7/9/22,7
7/10/22,1
7/11/22,8
7/12/22,8
7/13/22,3
7/14/22,7
7/15/22,7
7/16/22,1
7/17/22,2
7/18/22,9
7/19/22,12
7/20/22,5
7/21/22,8
7/22/22,1
7/23/22,5
7/24/22,5
7/25/22,4
7/26/22,6
7/27/22,3
7/28/22,9
7/29/22,2
7/30/22,4
7/31/22,0
8/1/22,5
8/2/22,7
8/3/22,9
8/4/22,6
8/5/22,6
8/6/22,9
8/7/22,10
8/8/22,6
8/9/22,7
8/10/22,10
8/11/22,5
8/12/22,8
8/13/22,6
8/14/22,8
8/15/22,11
8/16/22,15
8/17/22,6
8/18/22,11
8/19/22,7
8/20/22,9
8/21/22,13
8/22/22,7
8/23/22,9
8/24/22,8
8/25/22,15
8/26/22,17
8/27/22,11
8/28/22,12
8/29/22,19
8/30/22,18
8/31/22,8
9/1/22,19
9/2/22,15
9/3/22,31
9/4/22,23
9/5/22,12
9/6/22,16
9/7/22,18
9/8/22,13
9/9/22,24
9/10/22,12
9/11/22,18
9/12/22,18
9/13/22,12
9/14/22,24
9/15/22,59
9/16/22,26
9/17/22,21
9/18/22,11
9/19/22,14
9/20/22,24
9/21/22,6
9/22/22,27
