Weekly users by OS
Date,Chrome OS,Linux,Mac OS,Other,Windows
12/28/21,0,0,2,0,1
12/29/21,0,0,4,0,3
12/30/21,0,0,5,0,4
12/31/21,0,0,5,0,5
1/1/22,0,0,5,0,5
1/2/22,0,0,5,0,5
1/3/22,0,0,6,0,5
1/4/22,0,0,7,0,5
1/5/22,0,0,7,0,5
1/6/22,0,0,7,0,6
1/7/22,0,0,7,0,6
1/8/22,0,0,7,0,6
1/9/22,0,0,7,0,7
1/10/22,0,0,7,0,7
1/11/22,0,0,7,0,7
1/12/22,0,0,7,0,8
1/13/22,0,0,7,0,8
1/14/22,0,0,7,0,8
1/15/22,0,0,7,0,8
1/16/22,0,0,7,0,7
1/17/22,0,0,7,0,7
1/18/22,0,0,7,0,7
1/19/22,0,0,7,0,7
1/20/22,0,0,7,0,8
1/21/22,0,0,7,0,9
1/22/22,0,0,8,0,9
1/23/22,0,2,9,0,14
1/24/22,0,6,12,0,16
1/25/22,0,12,32,3,90
1/26/22,0,14,40,3,119
1/27/22,0,20,51,4,151
1/28/22,0,23,67,10,194
1/29/22,0,24,71,14,213
1/30/22,0,25,78,14,229
1/31/22,0,28,84,14,251
2/1/22,1,30,100,17,279
2/2/22,1,31,110,22,301
2/3/22,1,34,117,23,325
2/4/22,1,35,120,24,345
2/5/22,1,37,128,23,358
2/6/22,1,40,133,23,377
2/7/22,1,42,138,27,395
2/8/22,1,44,145,29,429
2/9/22,2,46,155,29,460
2/10/22,2,48,158,30,482
2/11/22,2,50,165,33,489
2/12/22,3,55,183,45,554
2/13/22,3,59,187,49,584
2/14/22,4,63,193,62,629
2/15/22,7,63,211,73,678
2/16/22,9,64,215,80,705
2/17/22,9,66,218,92,732
2/18/22,9,67,219,104,750
2/19/22,10,65,222,107,761
2/20/22,10,67,235,110,773
2/21/22,10,65,231,115,797
2/22/22,10,67,233,117,807
2/23/22,9,70,232,118,813
2/24/22,9,71,236,122,825
2/25/22,9,72,246,120,830
2/26/22,9,73,249,120,846
2/27/22,11,82,245,174,888
2/28/22,12,86,258,221,955
3/1/22,11,89,266,234,982
